O	14355	熟	博士博	phok-sū-phok					博士博/，/博/甲/戴/紙/橐/。	嘲笑人表現得好像知識比博士還淵博，但頭上戴的不是博士帽，而是紙袋子。	1.【熟】諷刺人愛賣弄知識。例：博士博，博甲戴紙橐。Phok-sū-phok, phok kah tì tsuá-lok. (嘲笑人表現得好像知識比博士還淵博，但頭上戴的不是博士帽，而是紙袋子。)　[近]袂博假博、博土(phok-thóo)											
O	14355	名	博士博	phok-sū-phok					阮/阿公/是/青/草仔/的/博士博/。	我爺爺是草藥達人。	2.【名】暱稱懂得非常多、學識淵博的人。例：阮阿公是青草仔的博士博。Guán a-kong sī tshenn-tsháu-á ê phok-sū-phok. (我爺爺是草藥達人。)　											
O	14356	動	喊	hán					無影/跡/的/代誌/，/也/佇/網/路/頂/咧/喊/。	子虛烏有的事也在網路上風傳。	【動】風傳、謠傳。相互流傳虛實不明的事。例：無影跡的代誌，也佇網路頂咧喊。Bô iánn-tsiah ê tāi-tsì iā tī bāng-lōo-tíng teh hán. (子虛烏有的事也在網路上風傳。)；相趁相喊　sio-thàn-sio-hán(人云亦云，或是一窩蜂跟著流行)。											
O	14357	動	喋詳	thi̍h-siông			厚話		我/顧/佮/厝邊/喋詳/，/煞/袂赴/煮/晝/。	 我顧著和鄰居閒扯淡，竟來不及煮午飯。	【動】多話、枝枝節節，雜七雜八的言語，且內容多是無關緊要的閒扯淡。例：我顧佮厝邊喋詳，煞袂赴煮晝。Guá kòo kah tshù-pinn thi̍h-siông, suah bē-hù tsú-tàu. ( 我顧著和鄰居閒扯淡，竟來不及煮午飯。)　											
O	14358	熟	喙笑目笑	tshuì-tshiò-ba̍k-tshiò	嘴笑目笑			憂頭結面、憂頭苦面	伊/看/著/人/攏/喙笑目笑/，/真/有人緣/。	他見到人都笑臉相迎，人緣很好。	【熟】笑容可掬、眉開眼笑。例：伊看著人攏喙笑目笑，真有人緣。I khuànn-tio̍h lâng lóng tshuì-tshiò-ba̍k-tshiò, tsin ū-lâng-iân. (他見到人都笑臉相迎，人緣很好。)；今年弓蕉產量穩定、價數好，蕉農逐个攏喙笑目笑。Kin-nî king-tsio sán-liōng ún-tīng, kè-siàu hó, tsio-lông ta̍k-ê lóng tshuì-tshiò-ba̍k-tshiò. (今年香蕉產量穩定，價錢好，蕉農每個都眉開眼笑。)　											
O	14359	名	喙桮	tshuì-pue/tshuì-pe	嘴桮				死/鴨仔/硬/喙桮/。	死鴨子嘴硬。俗語，形容人死不認錯。	【名】鳥類扁扁的嘴。例：死鴨仔硬喙桮。Sí ah-á ngē tshuì-pue. (死鴨子嘴硬。俗語，形容人死不認錯。)　											
O	14360	名	喙齒縫	tshuì-khí-phāng	嘴齒縫		齒縫(khí-phāng)		一屑仔/無夠/通/楔/喙齒縫/啦/！	那一點點不夠塞牙縫啦！	【名】牙縫。例：一屑仔無夠通楔喙齒縫啦！Tsi̍t-sut-á bô-kàu thang seh tshuì-khí-phāng--lah! (那一點點不夠塞牙縫啦！)；年歲有矣，喙齒縫愈來愈櫳，食物件定定楔咧，真礙虐。Nî-huè ū--ah, tshuì-khí-phāng jú lâi jú lang, tsia̍h mi̍h-kiānn tiānn-tiānn seh--leh, tsin gāi-gio̍h. (年紀大了，牙縫愈來愈大，吃東西常常卡著，真是不舒服。)　											
O	14361	動	報戶口	pò-hōo-kháu			入戶口、入家甲		往過/的/人/晏/報戶口/是/誠/四常/的/代誌/。	以前的人晚報戶口是稀鬆平常的事。	【動】報戶口。新生兒出生後所辦理的戶口登記。例：往過的人晏報戶口是誠四常的代誌。Íng-kuè ê lâng uànn pò-hōo-kháu sī tsiânn sù-siông ê tāi-tsì. (以前的人晚報戶口是稀鬆平常的事。)　											
O	14363	形	寒酸	hân-suan					無/彩/伊/家/財/萬/貫/，/煞/顛倒/寒酸/，/一/箍/銀/都/毋/肯/寄付/。	徒然擁有他家財萬貫，竟反倒寒酸，一塊錢都不肯捐獻。	【形】畏縮、不大方，害怕花費導致過於簡陋簡樸而不體面。例：無彩伊家財萬貫，煞顛倒寒酸，一箍銀都毋肯寄付。Bô-tshái i ka-tsâi bān-kuàn, suah tian-tò hân-suan, tsi̍t khoo gîn to m̄ khíng kià-hù. (徒然擁有他家財萬貫，竟反倒寒酸，一塊錢都不肯捐獻。)　											
O	14364	熟	惡人無膽	ok-lâng bô-tánn					伊/惡人無膽/，/你/免驚/伊/。	他表面兇惡其實沒有膽子，你不用怕他。	【熟】色厲內荏。表面兇惡的人沒有膽量。例：伊惡人無膽，你免驚伊。I ok-lâng bô-tánn, lí bián kiann--i. (他表面兇惡其實沒有膽子，你不用怕他。)　											
O	14365	形	惡質	ok-tsit			可惡、夭壽、毒心(ta̍k-sim)		彼个/頭家/蓋/惡質/，/工廠/刁/工/放/予/倒/，/家己/走/去/外國/享受/。	那個老板超惡劣，工廠故意放任它倒閉，自己跑到外國去享受。	【形】惡劣、邪惡、壞透、居心不良。例：彼个頭家蓋惡質，工廠刁工放予倒，家己走去外國享受。Hit ê thâu-ke kài ok-tsit, kang-tshiúnn thiau-kang pàng hōo tó, ka-kī tsáu-khì guā-kok hiáng-siū. (那個老板超惡劣，工廠故意放任它倒閉，自己跑到外國去享受。)　											
O	14366	動	提囡仔	the̍h-gín-á	摕囡仔		墮胎(tuī-thai)		醫生/理解//的/掛慮/，/徛/佇/同情/的/立場/，/答應/共//提囡仔/。	醫生理解他們的掛慮，站在同情的立場，答應幫他們墮胎。	【動】墮胎。例：醫生理解的掛慮，徛佇同情的立場，答應共提囡仔。I-sing lí-kái in ê kuà-lī, khiā tī tông-tsîng ê li̍p-tiûnn, tah-ìng kā in the̍h gín-á. (醫生理解他們的掛慮，站在同情的立場，答應幫他們墮胎。)　											
O	14367	疑	敢是	kám-sī					伊/敢是/老師/？	他是老師嗎？	1.【疑】疑問詞，用來表達是非、正反提問問句。例：伊敢是老師？I kám-sī lāu-su? (他是老師嗎？)　											
O	14367	疑	敢是	kám-sī					敢是/按呢/？	是這樣子嗎?	2.【疑】難道是、豈是。用來表達反問問句，一般的語調會提高或是加強那句話的語氣。例：敢是按呢？Kám-sī án-ne? (是這樣子嗎?)　											
O	14368	副	敢是	kánn-sī					敢是/欲/落雨/矣/。	大概是要下雨了。	【副】大概是、恐怕是。用於表達臆測、不太有把握的判斷。例：敢是欲落雨矣。Kánn-sī beh lo̍h-hōo--ah. (大概是要下雨了。)；伊敢是有啥物不得已的苦衷，才會做出這種代誌。I kánn-sī ū siánn-mih put-tik-í ê khóo-thiong, tsiah ē tsò-tshut tsit-tsióng tāi-tsì. (他恐怕是有什麼不得已的苦衷，才會做出這種事情。)　											
O	14369	動	敨放	tháu-pàng	㪗放			束縛	伊/偷提/厝裡/的/錢/，/予/阿公/縛/咧/，/啥人/敢/共/伊/敨放/？	他偷拿家裡的錢，被祖父綁著，誰敢幫他鬆綁？	1.【動】鬆綁。例：伊偷提厝裡的錢，予阿公縛咧，啥人敢共伊敨放？I thau-the̍h tshù--lí ê tsînn, hōo a-kong pa̍k--leh, siánn-lâng kánn kā i tháu-pàng？ (他偷拿家裡的錢，被祖父綁著，誰敢幫他鬆綁？)　											
O	14369	動	敨放	tháu-pàng	㪗放			束縛	臺/灣/人/的/想/法/敢有/得/著/敨放/？	臺灣人的想法得到解放了嗎？	2.【動】解放。解除束縛，使自由發展。例：臺灣人的想法敢有得著敨放？Tâi-uân-lâng ê siūnn-huat kám ū tit-tio̍h tháu-pàng. (臺灣人的想法得到解放了嗎？)　[近]解放											
O	14371	動	智覺	tì-kak			發覺、感覺		/翁/佇/外口/有/查某/，/伊/攏/無/智覺/著/。	她丈夫在外面有女人，她都沒察覺到。	【動】察覺、發覺、意識到。例：翁佇外口有查某，伊攏無智覺著。In ang tī guā-kháu ū tsa-bóo, i lóng bô tì-kak--tio̍h. (她丈夫在外面有女人，她都沒察覺到。)；你最近面色誠䆀，敢是身體佗位有各樣，你無智覺著是毋？Lí tsuè-kīn bīn-sik tsiânn bái, kánn-sī sin-thé tó-uī ū koh-iūnn, lí bô tì-kak--tio̍h sī--m̄? (你最近氣色很差，大概是身體哪裡有異樣，你沒察覺到嗎？)　											
O	14373	熟	欺貧重富	khi-pîn-tiōng-hù					伊/做人/欺貧重富/，/佇/庄/仔/頭名/聲/誠/䆀/。	他為人欺貧重富，在村子裡的名聲很差。	【熟】欺負、輕蔑窮人而重視、敬重富人。例：伊做人欺貧重富，佇庄仔頭名聲誠䆀。I tsò-lâng khi-pîn-tiōng-hù, tī tsng-á-thâu miâ-siann tsiânn bái. (他為人欺貧重富，在村子裡的名聲很差。)　											
O	14374	副	殘殘	tshân-tshân			殘殘脆脆		毋通/閣/躊躇/矣/，/殘殘/共/決/落去/！	不要再猶豫了，乾乾脆脆把它決定下來！	【副】乾乾脆脆，不再猶豫、狠下心來，果斷去做。例：毋通閣躊躇矣，殘殘共決落去！M̄-thang koh tiû-tû--ah, tshân-tshân kā kuat--lo̍h-khì. (不要再猶豫了，乾乾脆脆把它決定下來！)；殘殘豆干切五角。Tshân-tshân tāu-kuann tshiat--gōo-kak. (俗語，字面意思是果斷要求老板切五角錢左右的豆干，有自嘲或笑人連一點小事都猶豫不決的意味。)　											
O	14375	動	湠根	thuànn-kin/thuànn-kun			生根、生湠		番薯/𠢕/湠根/，/真/好/種/。	地瓜容易生根蔓延，很好種。	【動】植物的根不停地生長蔓延。例：番薯𠢕湠根，真好種。Han-tsî gâu thuànn-kin, tsin hó tsìng. (地瓜容易生根蔓延，很好種。)　											
O	14376	名	湳仔地	làm-á-tē	坔仔地		湳仔		原始/的/湳仔地/，/生/態/非/常/豐富/，/咱/著愛/好好仔/保護/。	 原始的濕地，生態非常豐富，咱們得要好好地保護。	【名】濕地、沼澤地，也通稱含水份較多的土地。例：原始的湳仔地，生態非常豐富，咱著愛好好仔保護。Guân-sí ê làm-á-tē, sing-thài hui-siông hong-hù, lán tio̍h-ài hó-hó-á pó-hōo. ( 原始的濕地，生態非常豐富，咱們得要好好地保護。)　											
O	14377	名	湳塗	làm-thôo	湳土、坔塗、坔土		爛塗(nuā-thôo)		牛/車/駛/入/湳塗/，/駛/袂/行/。	牛車駛進爛泥地，無法動彈。	【名】爛泥、泥濘的土。例：牛車駛入湳塗，駛袂行。Gû-tshia sái ji̍p làm-thôo, sái bē kiânn. (牛車駛進爛泥地，無法動彈。)　											
X	14378	熟	無才	bô-tsâi					較/正/經/咧/，/毋通/遐/無/才/。	正經一點，不要吊兒郎當。	1.【熟】吊兒郎當。言行輕浮，儀態不端。例：較正經咧，毋通遐無才。Khah tsìng-king--leh, m̄-thang hiah bô-tsâi. (正經一點，不要吊兒郎當。)　											
X	14378	熟	無才	bô-tsâi					搖/人/無/才/，/搖/豬/無/刣/。	俗語：走路搖晃不端莊的人沒有多少才幹；走路搖搖晃晃的病豬，不能宰來食用。	2.【熟】沒有才幹。例：搖人無才，搖豬無刣。Iô lâng bô-tsâi, iô ti bô thâi. (俗語：走路搖晃不端莊的人沒有多少才幹；走路搖搖晃晃的病豬，不能宰來食用。)　											
O	14380	形	無品	bô-phín					欠/錢/毋/還/，/足/無品/的/。	欠錢不還，人格很卑劣。	【形】人格、人品卑劣。例：欠錢毋還，足無品的。Khiàm-tsînn m̄ hîng, tsiok bô-phín--ê. (欠錢不還，人格很卑劣。)；開喙就𧮙，有夠無品。Khui-tshuì tō tshoh, ū kàu bô-phín. (開口就用粗鄙的話罵人，人品太低劣了。)　											
O	14381	名	番薯仔囝	han-tsî-á-kiánn/han-tsû-á-kiánn	番薯仔子				無/大/條/番薯/通/炰/，/炰/番薯仔囝/嘛/好/。	沒有大的地瓜可以烤，烤小地瓜也好。	1.【名】小地瓜。例：無大條番薯通炰，炰番薯仔囝嘛好。Bô tuā tiâu han-tsî thang pû, pû han-tsî-á-kiánn mā hó. (沒有大的地瓜可以烤，烤小地瓜也好。)　											
O	14381	名	番薯仔囝	han-tsî-á-kiánn/han-tsû-á-kiánn	番薯仔子				臺/灣/人/有時/會/稱呼/家己/是/番薯仔囝/。	臺灣人有時候會稱呼自己是番薯的子嗣。	2.【名】臺灣人自稱。例：臺灣人有時會稱呼家己是番薯仔囝。Tâi-uân-lâng ū-sî ē tshing-hoo ka-kī sī han-tsî-á-kiánn. (臺灣人有時候會稱呼自己是番薯的子嗣。)　											
O	14382	形	痛疼	thàng-thiànn					工課/做/規工/，/規身軀/痛疼/。	工作做了一整天，全身疼痛。	【形】疼痛。疾病、創傷、疲勞引起的難受感覺。例：工課做規工，規身軀痛疼。Khang-khuè tsò kui-kang, kui-sin-khu thàng-thiànn. (工作做了一整天，全身疼痛。)　											
O	14384	動	發爐	huat-lôo					尪架桌/發爐/。	供桌上的香爐起火。	【動】香爐中線香的香腳太過密集而悶燒或起火。民間相信這常常表示神明或祖先有所指示。例：尪架桌發爐。Ang-kè-toh huat-lôo. (供桌上的香爐起火。)　											
O	14385	名	睏尾	khùn-bué/khùn-bé					工課/到/睏尾/，/人/雖然/誠/忝/，/嘛是/袂使/凊彩/做/做/咧/。	工作快要告一個段落，雖然人很累，也不可以隨便做一做。	1.【名】一段工作將近結束的時候。例：工課到睏尾，人雖然誠忝，嘛是袂使凊彩做做咧。Khang-khuè kàu khùn-bué, lâng sui-jiân tsiânn thiám, mā sī bē-sái tshìn-tshái tsò-tsò--leh. (工作快要告一個段落，雖然人很累，也不可以隨便做一做。)　											
O	14385	名	睏尾	khùn-bué/khùn-bé					有/睏尾/ 	熟語，指後勁十足有耐力，能堅持到最後。	2.【名】引申指後勁。例：有睏尾　ū khùn-bué(熟語，指後勁十足有耐力，能堅持到最後。)、無睏尾　bô khùn-bué(熟語，指後勁不足，不能堅持到最後。)　											
O	14386	名	睏癖	khùn-phiah					伊/睏癖/真/䆀/，/規/暝/反/來/反/去/。	他睡覺的習性很不好，整晚翻來覆去的。	【名】睡覺時不自覺的習性、習慣動作。例：伊睏癖真䆀，規暝反來反去。I khùn-phiah tsin bái , kui-mê píng-lâi-píng-khì. (他睡覺的習性很不好，整晚翻來覆去的。)　											
O	14387	動	硩注	teh-tù			落注		雙爿/硩注/ 	兩邊壓寶	【動】下注、壓寶。例：雙爿硩注　siang-pîng teh-tù(兩邊壓寶)。											
O	14388	熟	硩番薯	teh han-tsî/teh han-tsû	硩番藷、硩蕃薯、硩蕃藷、矺番藷、矺蕃薯、矺蕃藷				人/硩番薯/拋/過/溝/，/咱/硩番薯/毋/落/頭/。	俗語，人家所種的地瓜發育良好，藤蔓轉眼就延生過壟溝，我們所種的地瓜卻無法定根都不能長成地瓜。亦指人的運氣不同，順逆有別。	【熟】種番薯。「硩」是指用壓條法來種植。種植的動作是以雙手平均拿住地瓜藤蔓，斜插入土中，然後雙手順勢翻來泥土壓在地瓜藤蔓上。例：人硩番薯拋過溝，咱硩番薯毋落頭。Lâng teh han-tsî pha kuè kau, lán teh han-tsî m̄ lo̍h thâu. (俗語，人家所種的地瓜發育良好，藤蔓轉眼就延生過壟溝，我們所種的地瓜卻無法定根都不能長成地瓜。亦指人的運氣不同，順逆有別。)　											
O	14389	動	硬拗	ngē-áu/ngī-áu					代誌/明明/都/伊/做/的/，/伊/硬拗/講/是/別人/。	事情分明就是他做的，他硬扯說是別人。	1.【動】強辯、強詞奪理、顛倒黑白。例：代誌明明都伊做的，伊硬拗講是別人。Tāi-tsì bîng-bîng to i tsò--ê, i ngē-áu kóng sī pa̍t-lâng. (事情分明就是他做的，他硬扯說是別人。)　											
O	14389	動	硬拗	ngē-áu/ngī-áu					彼/手機仔/都/已/經/有/打/對/折/矣/，/伊/閣/硬拗/，/叫/店員/送/伊/電池/佮/配/件/。	 那個手機都已經打了對折了，他還強求，叫店員送他電池和配件。	2.【動】無理強求。例：彼手機仔都已經有打對折矣，伊閣硬拗，叫店員送伊電池佮配件。He tshiú-ki-á to í-king ū tánn tuì-tsiat--ah, i koh ngē-áu, kiò tiàm-uân sàng i tiān-tî kah phuè-kiānn. ( 那個手機都已經打了對折了，他還強求，叫店員送他電池和配件。)　											
O	14389	動	硬拗	ngē-áu/ngī-áu					伊/力頭/誠/飽/，/遐/粗/的/鐵/條/枝/會使/硬拗/做/九十/度/。	他力氣很充足，那麼粗的鐵條可以硬扳成九十度。	3.【動】使蠻力硬扳。例：伊力頭誠飽，遐粗的鐵條枝會使硬拗做九十度。I la̍t-thâu tsiânn pá, hiah tshoo ê thih-ki ē-sái ngē-áu tsò káu-tsa̍p tōo. (他力氣很充足，那麼粗的鐵條可以硬扳成九十度。)　											
X	14390	形	硬插	ngē-tshah/ngī-tshah					這/个/囡仔/四個/月/爾爾/就/真/硬/插/，/足/好/抱/。	這個孩子才四個月大而已，骨骼就發育得很硬朗，很容易抱。	1.【形】骨骼硬朗，身強體健。例：這个囡仔四個月爾爾就真硬插，足好抱。Tsit ê gín-á sì kò gue̍h niā-niā tō tsin ngē-tshah, tsiok hó phō. (這個孩子才四個月大而已，骨骼就發育得很硬朗，很容易抱。)；伊食甲八十外仔外矣，猶閣誠硬插，懸低真扭掠。I tsia̍h kah peh-tsa̍p guā-á-guā--ah, iáu-koh tsiânn ngē-tshah, peh-kuân-peh-kē tsin liú-lia̍h. (他活到八十好幾了，依然很硬朗，爬上爬下很敏捷。)　[近]硬掙											
X	14390	形	硬插	ngē-tshah/ngī-tshah					新聞/報/講/有/一/个/老阿婆/有/夠/硬/插/，/靠/家己/一/雙手/骨/咧/晟/三/个/孫仔/。	新聞報導說，有一位老婦人非常堅強，靠自己雙手在扶養三個孫子。	2.【形】性格堅強、堅忍耐勞、堅毅不拔。例：新聞報講有一个老阿婆有夠硬插，靠家己一雙手骨咧晟三个孫仔。Sin-bûn pò kóng ū tsi̍t ê lāu a-pô ū-kàu ngē-tshah, khò ka-kī tsi̍t siang tshiú-kut teh tshiânn sann ê sun-á. (新聞報導說，有一位老婦人非常堅強，靠自己雙手在扶養三個孫子。)　[近]儼硬											
O	14391	動	筅黗	tshíng-thûn					筅黗/以後/，/就/準備/過年/。	送神之後打掃煙灰、塵埃，準備過年。	【動】打掃煙灰、塵埃。民間農曆十二月二十四日送神之後，進行年終大掃除，迎接農曆新年。例：筅黗以後，就準備過年。Tshíng-thûn í-āu, tō tsún-pī kuè-nî. (送神之後打掃煙灰、塵埃，準備過年。)　											
O	14393	名	粟種	tshik-tsíng					這/坵/田/的/粟仔/較/媠/，/留/起來/做/粟種/。	這塊田裡的稻穀比較漂亮，留下來做稻種。	【名】稻種。來年要當做種子的榖子。例：這坵田的粟仔較媠，留起來做粟種。Tsit khu tshân ê tshik-á khah suí, lâu khí-lâi tsò tshik-tsíng. (這塊田裡的稻穀比較漂亮，留下來做稻種。)　											
O	14394	動	翕汗	hip-kuānn					寒著/蓋被/翕汗/，/較/緊/好/。	感冒蓋被子使身體出汗，比較快痊癒。	【動】發汗。蓋被子或穿厚重衣物使身體出汗。例：寒著蓋被翕汗，較緊好。Kuânn--tio̍h kah-phuē hip-kuānn, khah kín hó. (感冒蓋被子使身體出汗，比較快痊癒。)　											
X	14395	名	菜市仔名	tshài-tshī-á-miâ					家/豪/佮/淑芬/是/這馬/真/流行/的/菜/市場/名/。	家豪與淑芬是現在很流行的通俗命名。	【名】指某名字相當通俗、常見，甚至去菜市場喊一聲，就會有很多人回應的意思。例：家豪佮淑芬是這馬真流行的菜市場名。Ka-hô kap siok-hun sī tsit-má tsin liû-hîng ê tshài-tshī-á-miâ. (家豪與淑芬是現在很流行的通俗命名。)　											
O	14397	名	菜砧	tshài-tiam			砧、刀砧、肉砧		用/菜砧/切/肉/以後/，/愛/洗/清氣/。	用砧板切肉以後，要洗乾淨。	【名】砧板。以刀切食材時，墊在下面的板子。例：用菜砧切肉以後，愛洗清氣。Īng tshài-tiam tshiat-bah í-āu, ài sé tshing-khì. (用砧板切肉以後，要洗乾淨。)　											
O	14398	名	菜蟲	tshài-thâng					菜蟲/食菜/，/菜/跤/死/。	俗語，菜蟲吃菜，菜下死。指惡有惡報。如貪污者必因貪污而觸法。有玩火自焚的意味。	1.【名】寄生在蔬菜上的蟲。例：菜蟲食菜，菜跤死。Tshài-thâng tsia̍h tshài, tshài-kha sí. (俗語，菜蟲吃菜，菜下死。指惡有惡報。如貪污者必因貪污而觸法。有玩火自焚的意味。)　											
O	14398	名	菜蟲	tshài-thâng					菜/金/菜/塗/，/攏/搦/佇/菜蟲/的/手/裡/。	蔬菜價格暴漲暴跌，都控制在菜蟲的手裡。	2.【名】剝削菜農的商人。例：菜金菜塗，攏搦佇菜蟲的手裡。Tshài-kim tshài-thôo, lóng la̍k tī tshài-thâng ê tshiú--lí. (蔬菜價格暴漲暴跌，都控制在菜蟲的手裡。)　											
O	14399	動	著獎	tio̍h-tsióng/tio̍h-tsiáng				摃龜	伊/去/參加/朗/讀/比賽/，/有/著獎/呢/！	他去參加朗讀比賽，得獎了呢！	1.【動】得獎。獲得獎賞。例：伊去參加朗讀比賽，有著獎呢！I khì tsham-ka lóng-tho̍k pí-sài, ū tio̍h-tsióng--neh!  (他去參加朗讀比賽，得獎了呢！)　[近]著等(tio̍h-tíng)											
O	14399	動	著獎	tio̍h-tsióng/tio̍h-tsiáng				摃龜	伊/買/彩/券/著獎/，/同事/攏/叫/伊/愛/請/。	他買彩券中獎，同事們都叫他要請客。	2.【動】中獎。因彩券、獎券或統一發票等對中號碼，而獲得獎品或獎金。例：伊買彩券著獎，同事攏叫伊愛請。I bé tshái-kuàn tio̍h-tsióng, tông-sū lóng kiò i ài tshiánn. (他買彩券中獎，同事們都叫他要請客。)　[近]中獎(tiòng-tsióng)											
O	14400	動	著觸	tio̍h-tak					跤/著觸/。	踉蹌失足。	1.【動】因腳絆到或踢到東西而踉蹌。例：跤著觸。Kha tio̍h-tak. (踉蹌失足。)；馬四跤，有時也會著觸。Bé sì kha, ū-sî iā ē tio̍h-tak. (馬儘管有四條腿，有時也會踉蹌。俗語，比喻強者也難免有遇到挫敗的時候；力氣、財產或權勢有時也會靠不住。)　											
O	14400	動	著觸	tio̍h-tak					伊/拄/創業/的/時/，/雖然/定/定/著觸/，/猶原/堅持/理/想/。	他剛創業時，雖然常常遭遇挫折，依然堅持理想。	2.【動】比喻遭遇挫折或失誤犯錯。例：伊拄創業的時，雖然定定著觸，猶原堅持理想。I tú tshòng-gia̍p ê sî, sui-jiân tiānn-tiānn tio̍h-tak, iû-guân kian-tshî lí-sióng. (他剛創業時，雖然常常遭遇挫折，依然堅持理想。)；伊袂堪得歹朋友唌，才會著觸。I bē-kham-tit pháinn pîng-iú siânn, tsiah ē tio̍h-tak. (伊禁不住損友引誘，才會失足犯過。)　											
X	14401	形	覕鬚	bih-tshiu					/頭家/若/較/歹/咧/，/伊/就/較/覕/鬚/。	他的老闆兇一點，他就比較收斂不敢招搖。	1.【形】收斂、不敢招搖。例：頭家若較歹咧，伊就較覕鬚。In thâu-ke nā khah pháinn--leh, i tō khah bih-tshiu. (他的老闆兇一點，他就比較收斂不敢招搖。)　[反]聳鬚											
X	14401	動	覕鬚	bih-tshiu					/老爸/若/對/伊/變面/，/伊/就/覕/鬚/。	他爸爸若跟他翻臉，他就快要哭了。	2.【動】快要哭泣。例：老爸若對伊變面，伊就覕鬚。In lāu-pē nā tuì i pìnn-bīn, i tō bih-tshiu. (他爸爸若跟他翻臉，他就快要哭了。)　[近]覕喙											
O	14402	名	詞彙	sû-luī					語言/的/詞彙/消失/愈/濟/，/這/个/語言/就/愈/緊/死/去	語言的詞彙消失愈多，這個語言就愈快死亡。	【名】一個語言裡所有語詞和固定詞組的總稱。除一般語詞外，並包括古語、方言詞、外來語詞及各科術語等。例：語言的詞彙消失愈濟，這个語言就愈緊死去Gí-giân ê sû-luī siau-sit jú tsē, tsit ê gí-giân tō jú kín sí--khì. (語言的詞彙消失愈多，這個語言就愈快死亡。)　											
O	14403	名	買手	bé-tshiú/bué-tshiú			買主	賣主	買手/閣/加/疊/一/成/，/就/成/交/矣/。	買主再加價一成，就成交矣。	【名】買主。例：買手閣加疊一成，就成交矣。Bé-tshiú koh ke tha̍h tsi̍t siânn, tō sîng-kau--ah. (買主再加價一成，就成交矣。)　											
O	14404	動	貿貨底	bāu-huè-té/bāu-hè-tué			窮貨底	卸貨底	伊/拄咧/排/路邊擔仔/的/時/，/因為/欠/本錢/，/就/去/共/人/貿貨底/來/賣/。	他剛開始做路邊攤生意時，因為較欠缺本錢，就去跟人買庫存貨來賣。	【動】把貨商賣剩的存貨用低價全部買下來。例：伊拄咧排路邊擔仔的時，因為欠本錢，就去共人貿貨底來賣。I tú teh pâi lōo-pinn-tànn-á ê sî, in-uī khiàm pún-tsînn, tō khì kā lâng bāu-huè-té lâi bē. (他剛開始做路邊攤生意時，因為較欠缺本錢，就去跟人買庫存貨來賣。)　											
O	14405	動	跋感情	pua̍h-kám-tsîng					有/一寡/政治/人物/，/干焦/佇/選舉/的/時/，/才/較/捷/講/母/語/來/佮/民眾/跋感情/。	有一些政治人物，只有在選舉時，才比較常說母語來博取民眾的好感。	【動】與人交往應酬，努力爭取對方的信任與接納。例：有一寡政治人物，干焦佇選舉的時，才較捷講母語來佮民眾跋感情。Ū tsi̍t-kuá tsìng-tī-jîn-bu̍t, kan-na tī suán-kí ê sî, tsiah khah tsia̍p kóng bú-gí lâi kah bîn-tsiòng pua̍h-kám-tsîng.(有一些政治人物，只有在選舉時，才比較常說母語來博取民眾的好感。)　											
O	14406	動	跙流籠	tshū-liû-lông	趨流籠				恁/欲/跙流籠/，/著愛/照/排列/，/按呢/才/有/公平/。	你們要溜滑梯，得要照順序排隊，這樣才公平。	【動】溜滑梯。例：恁欲跙流籠，著愛照排列，按呢才有公平。Lín beh tshū-liû-lông, tio̍h-ài tsiàu pâi-lia̍t, án-ne tsiah ū kong-pênn. (你們要溜滑梯，得要照順序排隊，這樣才公平。)　											
X	14407	形	鈍目	tūn-ba̍k			戇目		伊/真/鈍/目/，/看/物件/攏/看/袂/清楚/。	他視力不好，看東西都看不清楚。	1.【形】視力不好。例：伊真鈍目，看物件攏看袂清楚。I tsin tūn-ba̍k, khuànn mi̍h-kiānn lóng khuànn bē tshing-tshó. (他視力不好，看東西都看不清楚。)　											
X	14407	形	鈍目	tūn-ba̍k			戇目		伊/實在/足/鈍/目/，/看/過/就/隨/袂記得/。	他實在眼拙，看過就馬上忘了。	2.【形】視覺記憶能力不好，記不住特徵。例：伊實在足鈍目，看過就隨袂記得。I si̍t-tsāi tsiok tūn-ba̍k, khuànn--kùe tō suî bē-kì--tit. (他實在眼拙，看過就馬上忘了。)　											
O	14408	動	閒煩	îng-huân			閒煩惱		這/是/阮/的/代誌/，/免/你/閒煩/。	這是我們的事情，不用你瞎操心。	【動】瞎操心。例：這是阮的代誌，免你閒煩。Tse-sī guán-ê tāi-tsì, bián lí îng-huân. (這是我們的事情，不用你瞎操心。)　											
O	14409	形	韌命	jūn-miā/lūn-miā			耐命	脆命(tshè-miā)	杜蚓仔/真/韌命/，/伊/的/後/半/段/若/斷/去/，/家己/會/閣/生/出來/。	蚯蚓生命力很強，它的後半段要是斷了，自己會再生。	【形】有韌性、生命力強，經得起磨難。例：杜蚓仔真韌命，伊的後半段若斷去，家己會閣生出來。Tōo-kún-á tsin jūn-miā, i ê āu-puànn-tuānn nā tn̄g--khì, ka-kī ē koh senn--tshut-lâi. (蚯蚓生命力很強，它的後半段要是斷了，自己會再生。)；阿公真韌命，細漢的時拄著幾若擺空襲攏無代誌。A-kong tsin jūn-miā, sè-hàn ê sî tú-tio̍h kuí nā pái khong-si̍p lóng bô tāi-tsì. (爺爺生命力很強，小時候遇到好幾次空襲都沒事。)　											
